,9-1,10-1,11-1,9-2,10-2,11-2
min-degree,9178.720000000001,9131.540000000003,8657.950000000003,9866.900000000001,8749.400000000001,8979.18
max-degree,16023.460000000001,15490.279999999999,15565.849999999999,16405.780000000006,15302.090000000002,15015.660000000003
min-processing_time,26546.81999999999,26500.999999999996,26362.019999999997,27599.07,26621.23000000001,26507.22
max-processing_time,9156.170000000002,9026.260000000002,9751.24,9692.409999999994,9990.98,9814.429999999998
min-collective_influence,9178.720000000001,9131.540000000003,8657.950000000003,10851.690000000002,8749.400000000001,8979.18
max-mapping_entropy,9399.280000000002,8973.86,8964.170000000002,10372.350000000002,8979.699999999999,9151.28
