epochs,9-1,10-1,11-1,9-2,10-2,11-2
34000.0,9399.280000000002,8973.86,8964.170000000002,11049.090000000006,8979.699999999999,8808.7
34500.0,10295.720000000005,8608.05,8687.280000000002,11275.64,9293.130000000005,8941.960000000003
35000.0,10211.759999999998,9764.91,8994.260000000004,9573.980000000003,9055.05,8203.050000000001
35500.0,9178.72,9131.540000000005,8657.950000000003,10851.690000000002,8749.400000000001,8979.18
36000.0,9564.05,9131.540000000005,8657.950000000003,10718.470000000005,8749.400000000001,8979.18
36500.0,9165.930000000002,8958.47,8551.4,11088.520000000002,11838.920000000004,9043.990000000003
37000.0,9399.280000000002,8973.86,8964.170000000002,10372.350000000002,8979.699999999999,9151.28
37500.0,10123.26,9475.52,9326.07,9965.570000000002,8994.289999999997,9052.910000000002
38000.0,9178.72,8896.280000000004,8657.950000000003,9894.400000000003,8749.400000000001,8900.420000000002
38500.0,9178.72,8896.280000000004,8657.950000000003,10851.690000000002,8749.400000000001,8900.420000000002
39000.0,9022.210000000006,9439.620000000004,8975.730000000001,9507.880000000005,9125.73,9042.340000000004
39500.0,10120.94,9458.84,9162.56,10688.319999999998,8611.0,8854.99
40000.0,9178.72,9131.540000000005,8657.950000000003,10615.5,8749.400000000001,8979.18
40500.0,8965.790000000003,8783.570000000002,8169.839999999998,10654.810000000003,10374.340000000002,8716.060000000001
41000.0,9177.67,8961.259999999998,8521.869999999999,9590.73,8634.29,8831.23
41500.0,8682.000000000002,9232.300000000005,8417.540000000003,9679.280000000002,9504.43,8401.53
42000.0,10179.6,9134.21,9016.390000000005,10570.46,19877.72,10229.47
42500.0,9603.900000000003,8547.239999999998,8965.140000000003,10080.990000000003,8876.620000000003,8716.100000000002
43000.0,9156.170000000002,9026.260000000002,9751.24,9692.409999999994,9990.98,9814.429999999998
43500.0,9783.880000000005,9002.950000000003,9009.770000000004,9384.84,8956.610000000002,9012.979999999998
44000.0,9178.72,9131.540000000005,8657.950000000003,10851.690000000002,8749.400000000001,8979.18
44500.0,10344.289999999995,9244.95,8311.669999999998,9608.159999999998,8660.23,8799.52
45000.0,10425.5,9073.660000000002,8563.42,10430.14,9280.04,8477.93
45500.0,9178.72,9131.540000000005,8657.950000000003,9866.9,8749.400000000001,8979.18
46000.0,9307.620000000004,8877.800000000003,8963.78,8913.660000000003,8167.880000000001,9064.610000000002
46500.0,9600.820000000003,9032.78,9023.180000000002,11051.180000000002,11458.090000000004,8855.740000000002
47000.0,10274.500000000002,8559.120000000003,8687.340000000002,9840.35,9755.49,9130.640000000005
47500.0,9178.72,9131.540000000005,8657.950000000003,10642.410000000003,8749.400000000001,8979.18
48000.0,9195.950000000004,9131.540000000005,8964.170000000002,10851.690000000002,8979.699999999999,8900.44
48500.0,8960.22,8771.819999999998,8947.910000000002,10825.04,8955.770000000002,8438.900000000001
49000.0,9301.450000000004,8970.020000000002,9298.650000000003,8893.880000000003,8430.420000000004,9340.840000000002
49500.0,10031.98,9485.670000000002,9261.240000000002,10241.330000000002,9236.45,9563.04
50000.0,9570.31,9153.170000000002,8398.95,10421.670000000002,8995.250000000004,8789.54
50500.0,8719.340000000004,9340.97,8942.120000000003,10749.05,11271.010000000004,9517.560000000003
51000.0,9131.150000000001,9388.870000000003,8629.66,10350.360000000004,8749.400000000001,9363.36
51500.0,9178.720000000001,9131.540000000003,8657.950000000003,10851.690000000002,8749.400000000001,8979.18
52000.0,9178.720000000001,9131.540000000003,8657.950000000003,9866.900000000001,8749.400000000001,8979.18
52500.0,9461.380000000003,9941.120000000003,9242.640000000001,10059.11,8956.610000000002,9012.979999999998
53000.0,9040.580000000004,8937.700000000003,8789.550000000003,9162.170000000002,9216.510000000002,9010.28
53500.0,9654.080000000002,9133.450000000003,9210.230000000003,9884.550000000003,9066.339999999998,9829.630000000001
54000.0,8904.700000000003,9254.439999999999,11013.590000000004,9187.609999999999,9021.579999999998,19542.600000000002
54500.0,8999.640000000001,9473.039999999999,8542.340000000002,10581.670000000006,8092.920000000001,8914.910000000002
