epochs,9-1,10-1,11-1,9-2,10-2,11-2
0.0,9178.72,9131.540000000005,8657.950000000003,9866.9,8749.400000000001,8979.18
1000.0,8707.260000000002,9181.46,8977.430000000002,17970.21,12895.31,8662.420000000002
10000.0,8738.470000000003,9652.519999999997,8795.579999999998,9221.469999999998,8638.63,8805.97
10500.0,9178.72,9131.540000000005,8657.950000000003,10851.690000000002,8749.400000000001,8979.18
1500.0,9754.080000000004,8352.87,9087.100000000002,9501.290000000005,8886.12,9181.710000000005
2000.0,18069.82999999999,8442.100000000004,7940.1399999999985,27926.379999999983,27723.93999999999,9523.050000000005
2500.0,9178.72,8896.280000000004,8657.950000000003,10851.690000000002,8749.400000000001,8900.420000000002
3000.0,9178.72,9131.540000000005,8657.950000000003,10851.690000000002,8749.400000000001,8979.18
3500.0,9048.340000000002,8403.68,8405.149999999998,10355.430000000006,10192.440000000004,8845.41
4000.0,10075.259999999997,9244.95,8311.669999999998,9608.159999999998,8660.23,8558.13
4500.0,9399.280000000002,9131.540000000005,8964.170000000002,10739.450000000004,8979.699999999999,8981.990000000002
500.0,9399.280000000002,8885.490000000002,8700.980000000001,17940.060000000005,8979.699999999999,15765.970000000005
5000.0,20898.720000000005,16157.310000000003,16741.579999999998,19704.85000000001,17129.329999999998,17372.68
5500.0,10075.259999999997,9244.95,8311.669999999998,9858.89,8660.23,8558.13
6000.0,10161.59,9026.010000000004,8994.260000000004,10446.410000000003,9301.77,9523.760000000002
6500.0,9935.080000000002,9213.110000000004,9199.600000000004,9384.84,8956.610000000002,9012.979999999998
7000.0,21477.35,21406.379999999983,25857.72,27779.59999999999,27040.370000000006,27018.11999999999
7500.0,9178.72,9131.540000000005,8657.950000000003,9866.9,8749.400000000001,8979.18
8000.0,9399.280000000002,9131.540000000005,8964.170000000002,10739.450000000004,8979.699999999999,8981.990000000002
8500.0,9178.72,8896.280000000004,8657.950000000003,10641.610000000004,8749.400000000001,8900.420000000002
9000.0,9184.9,10098.95,8810.090000000002,10851.79,8597.15,8585.100000000002
9500.0,8738.470000000003,9609.680000000002,8795.579999999998,9988.569999999998,8663.189999999997,9043.4
11000.0,9968.680000000002,8699.06,8828.320000000003,10822.940000000002,8609.86,8614.680000000002
11500.0,9710.280000000002,8964.680000000004,9391.250000000004,9568.340000000002,9805.940000000004,9466.390000000005
12000.0,9178.72,8896.280000000004,8657.950000000003,10836.350000000002,8749.400000000001,8900.420000000002
12500.0,10233.199999999995,10587.36,8311.669999999998,10865.3,9079.72,8974.19
13000.0,10110.88,9204.970000000005,8360.760000000002,10246.27,9478.570000000002,8277.16
13500.0,9178.72,9110.610000000002,8657.950000000003,10851.690000000002,8749.400000000001,8900.420000000002
14000.0,9946.4,8414.470000000001,8632.29,9812.640000000005,10578.200000000004,9295.710000000005
14500.0,9956.530000000002,8904.079999999998,8762.37,10167.71,19877.72,8623.590000000004
15000.0,9178.72,9131.540000000005,8657.950000000003,9866.9,8749.400000000001,8979.18
15500.0,9688.35,9272.72,9457.26,9259.2,9795.380000000005,8865.639999999996
16000.0,9178.72,9131.540000000005,8657.950000000003,10260.46,8749.400000000001,8900.420000000002
16500.0,9244.720000000005,9104.760000000002,8740.080000000002,10535.470000000005,8092.920000000001,8665.580000000004
17000.0,9097.180000000004,9320.64,9264.320000000003,9230.660000000002,9462.32,9154.180000000002
17500.0,9510.320000000003,9427.580000000002,8897.160000000002,10142.680000000004,8092.920000000001,8976.490000000002
18000.0,8746.330000000002,9178.830000000002,8992.830000000002,10502.840000000002,8841.390000000001,8919.740000000003
18500.0,9399.280000000002,8973.86,8964.170000000002,10372.350000000002,8979.699999999999,9151.28
19000.0,9178.72,8896.280000000004,8657.950000000003,10481.620000000004,8749.400000000001,8900.420000000002
19500.0,8717.530000000002,8547.849999999999,8578.45,10625.920000000004,10466.500000000004,8670.880000000003
20000.0,9178.72,9131.540000000005,8657.950000000003,9866.9,8749.400000000001,8979.18
20500.0,15856.309999999996,15938.439999999991,15565.85,15614.250000000002,15134.49,13936.840000000002
21000.0,8717.530000000002,8547.849999999999,8578.45,10477.11,10388.180000000002,8670.880000000003
21500.0,9262.49,9082.010000000002,8465.25,10646.980000000003,8504.32,8581.93
22000.0,9436.48,8823.100000000002,9371.650000000003,9512.630000000005,8770.750000000004,9305.350000000002
